company_id,type,rule_id,text,confidence_pct
ABB,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,98
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,84
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,87
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,98
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93
ADANIENT,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,86
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,98
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIPORTS,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIPORTS,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
ADANIPORTS,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,83
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
ADANIPOWER,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95
AGTL,con,CON_COVERAGE,"No high-confidence con rule triggered, but periodic monitoring remains warranted as financial conditions can change",61
AGTL,pro,PRO_COVERAGE,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching",61
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76
APOLLOHOSP,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,91
ATGL,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,87
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,98
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,94
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
BAJAJ-AUTO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,84
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,98
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJHLDNG,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,84
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,84
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,98
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,98
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,98
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,98
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,98
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,90
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
BEL,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,98
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,90
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
BHEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,98
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,76
BHEL,pro,PRO_COVERAGE,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching",61
BOSCHLTD,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BOSCHLTD,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,86
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,98
BOSCHLTD,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98
BPCL,con,CON_COVERAGE,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached",61
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,96
